# vertices: 51777, # edges: 107963
Number of sequences: 10000.
Loaded sequence batch successfully in 0.00683904s.
Sequence length: 130, alignment cost:0, forward num cells:120507, reverse num cells: 128028
Sequence length: 65, alignment cost:0, forward num cells:52151, reverse num cells: 65516
Sequence length: 65, alignment cost:0, forward num cells:52056, reverse num cells: 61963
Sequence length: 98, alignment cost:0, forward num cells:85493, reverse num cells: 81844
Sequence length: 97, alignment cost:0, forward num cells:93230, reverse num cells: 94564
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
Sequence length: 86, alignment cost:0, forward num cells:71307, reverse num cells: 52660
Sequence length: 151, alignment cost:0, forward num cells:124438, reverse num cells: 128210
Sequence length: 148, alignment cost:0, forward num cells:86435, reverse num cells: 83843
Sequence length: 151, alignment cost:0, forward num cells:124438, reverse num cells: 128210
Sequence length: 151, alignment cost:0, forward num cells:87647, reverse num cells: 84551
Sequence length: 84, alignment cost:0, forward num cells:52039, reverse num cells: 69980
Sequence length: 84, alignment cost:0, forward num cells:69980, reverse num cells: 52039
Sequence length: 121, alignment cost:0, forward num cells:127983, reverse num cells: 140956
Sequence length: 123, alignment cost:0, forward num cells:124476, reverse num cells: 127989
Sequence length: 130, alignment cost:0, forward num cells:128028, reverse num cells: 120507
Sequence length: 130, alignment cost:0, forward num cells:120507, reverse num cells: 128028
Sequence length: 88, alignment cost:0, forward num cells:52047, reverse num cells: 71949
Sequence length: 88, alignment cost:0, forward num cells:71949, reverse num cells: 52047
Sequence length: 60, alignment cost:0, forward num cells:52151, reverse num cells: 61167
Sequence length: 61, alignment cost:0, forward num cells:62071, reverse num cells: 52028
Sequence length: 139, alignment cost:1, forward num cells:162686, reverse num cells: 173069
Sequence length: 139, alignment cost:1, forward num cells:173069, reverse num cells: 162686
Sequence length: 86, alignment cost:0, forward num cells:52660, reverse num cells: 71307
